id	state	abbr	medianIncome	percentPoverty	medianAge	obesity	smoke	noHealthInsurance
1	Alabama	AL	42830	19.3	38.6	33.5	14.8	13.9
2	Alaska	AK	71583	11.2	33.3	29.7	13.5	15
3	Arizona	AZ	50068	18.2	36.9	28.9	11.1	14.4
4	Arkansas	AR	41262	18.9	37.8	35.9	17.7	16.3
5	California	CA	61933	16.4	36	24.7	7.7	14.8
6	Colorado	CO	61303	12	36.3	21.3	10.7	12.8
7	Connecticut	CT	70048	10.8	40.5	26.3	10.2	8.7
8	Delaware	DE	59716	12.5	39.6	30.7	14.7	8.7
9	District of Columbia	DC	71648	17.7	33.8	21.7	10	8.3
10	Florida	FL	47463	16.5	41.6	26.2	11.6	17.6
11	Georgia	GA	49321	18.3	36.1	30.5	12.4	20.9
12	Hawaii	HI	69592	11.4	38.1	22.1	9.6	8.1
13	Idaho	ID	47861	14.8	35.9	28.9	11.1	16.5
14	Illinois	IL	57444	14.4	37.5	29.3	11.3	11.9
15	Indiana	IN	49446	15.2	37.4	32.7	16.9	14.8
16	Iowa	IA	53712	12.2	38.2	30.9	13.7	7.7
17	Kansas	KS	52504	13.6	36.2	31.3	13.1	14.5
18	Kentucky	KY	42958	19.1	38.5	31.6	20.4	10
19	Louisiana	LA	44555	19.8	36.1	34.9	16.8	18.7
20	Maine	ME	49462	14.1	44.1	28.2	14.7	11
21	Maryland	MD	73971	10.1	38.3	29.6	10	9.2
22	Massachusetts	MA	69160	11.6	39.4	23.3	10	4.6
23	Michigan	MI	49847	16.2	39.6	30.7	15.6	10.3
24	Minnesota	MN	61481	11.5	37.8	27.6	11.4	7.3
25	Mississippi	MS	39680	21.5	36.7	35.5	15.5	18.8
26	Missouri	MO	48363	15.5	38.5	30.2	15.8	12.9
27	Montana	MT	46328	15.4	39.6	26.4	14	12.9
28	Nebraska	NE	52686	12.4	36.2	30.2	12.2	12.4
29	Nevada	NV	51450	15.2	37.4	27.7	10.8	17.1
30	New Hampshire	NH	66532	9.2	42.5	27.4	13	11.4
31	New Jersey	NJ	71919	11.1	39.4	26.9	9.5	12.5
32	New Mexico	NM	44803	21.3	37.2	28.4	12.7	15.4
33	New York	NY	58878	15.9	38.2	27	9.5	12.3
34	North Carolina	NC	46556	17.2	38.3	29.7	13	16.1
35	North Dakota	ND	59029	11.5	35.1	32.2	14.4	8.8
36	Ohio	OH	49308	15.8	39.4	32.6	15.6	10.2
37	Oklahoma	OK	47529	16.6	36.2	33	15.1	13.9
38	Oregon	OR	51075	16.6	39.3	27.9	12.1	11
39	Pennsylvania	PA	53234	13.6	40.7	30.2	13.9	10.1
40	Rhode Island	RI	54891	14.3	39.8	27	11.3	8
41	South Carolina	SC	45238	18	38.8	32.1	14.8	17.1
42	South Dakota	SD	50979	14.2	36.6	29.8	12.9	9.9
43	Tennessee	TN	44361	18.3	38.6	31.2	18.7	14.2
44	Texas	TX	53035	17.2	34.3	31.9	8.7	24.9
45	Utah	UT	60922	11.7	30.5	25.7	6.4	13.9
46	Vermont	VT	54166	12.2	42.8	24.8	11.7	6.7
47	Virginia	VA	64902	11.8	37.7	28.5	14	13.1
48	Washington	WA	61366	13.2	37.5	27.3	10.9	10.7
49	West Virginia	WV	41059	18.3	41.9	35.7	22.5	10.1
50	Wisconsin	WI	52622	13.2	39.2	31.2	12.9	8.5
51	Wyoming	WY	57055	11.2	36.6	29.5	14.3	15.1
